crop,preferable_season,preferable_soil
Wheat,Rabi,Loamy|Alluvial
Rice,Kharif,Clayey|Alluvial|Loamy
Maize,Kharif,Loamy|Alluvial|Red
Gram,Rabi,Loamy|Black|Alluvial
Barley,Rabi,Loamy|Alluvial
Rapeseed &Mustard,Rabi,Alluvial|Loamy
Sugarcane,Kharif,Loamy|Alluvial|Black
Potato,Rabi,Loamy|Alluvial
Mango,Kharif,Black|Red|Laterite|Alluvial
Banana,Kharif,Loamy|Alluvial|Clayey
Cotton,Kharif,Black|Red
Groundnut,Kharif,Red|Sandy|Black
