state,district,crop,season,year_start,year_end,area_hectare,production,yield_per_hectare,production_unit,yield_unit
Uttar Pradesh,Amethi,Coriander,Rabi,2022,2023,29.0,22.0,0.76,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Dry chillies,Kharif,2020,2021,23.0,20.0,0.87,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Dry chillies,Kharif,2021,2022,28.0,25.0,0.89,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Dry chillies,Kharif,2022,2023,39.0,36.0,0.92,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Garlic,Rabi,2020,2021,36.0,214.0,5.94,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Garlic,Rabi,2021,2022,38.0,234.0,6.16,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Garlic,Rabi,2022,2023,50.0,303.0,6.06,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Gram,Rabi,2020,2021,2991.0,4750.0,1.59,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Gram,Rabi,2021,2022,3329.0,7813.0,2.35,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Gram,Rabi,2022,2023,3329.0,4507.0,1.35,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Groundnut,Kharif,2020,2021,5.0,6.0,1.2,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Groundnut,Kharif,2021,2022,7.0,8.0,1.14,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Guar seed,Kharif,2020,2021,7.0,5.0,0.71,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Guar seed,Kharif,2021,2022,8.0,6.0,0.75,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Guar seed,Kharif,2022,2023,9.0,6.0,0.67,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Jowar,Kharif,2020,2021,3820.0,5262.0,1.38,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Jowar,Kharif,2021,2022,4406.0,7851.0,1.78,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Jowar,Kharif,2022,2023,5615.0,9158.0,1.63,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Linseed,Rabi,2020,2021,60.0,34.0,0.57,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Linseed,Rabi,2021,2022,72.0,45.0,0.63,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Linseed,Rabi,2022,2023,105.0,75.0,0.71,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Maize,Kharif,2020,2021,433.0,756.0,1.75,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Maize,Kharif,2021,2022,559.0,847.0,1.52,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Maize,Kharif,2022,2023,559.0,816.0,1.46,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Maize,Rabi,2020,2021,73.0,193.0,2.64,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Maize,Summer,2020,2021,81.0,234.0,2.89,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Maize,Summer,2021,2022,88.0,240.0,2.73,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Maize,Summer,2022,2023,80.0,230.0,2.88,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Masoor,Rabi,2020,2021,1732.0,1370.0,0.79,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Masoor,Rabi,2021,2022,2012.0,1734.0,0.86,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Masoor,Rabi,2022,2023,2315.0,2137.0,0.92,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Moong(Green Gram),Kharif,2020,2021,105.0,42.0,0.4,tonnes,tonnes/hectare
