state,district,crop,season,year_start,year_end,area_hectare,production,yield_per_hectare,production_unit,yield_unit
Uttar Pradesh,Mathura,Dry chillies,Kharif,2022,2023,14.0,13.0,0.93,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Sugarcane,Kharif,2022,2023,96121.0,6338000.0,65.94,tonnes,tonnes/hectare
Uttar Pradesh,Bareilly,Rice,Kharif,2022,2023,162363.0,486764.0,3.0,tonnes,tonnes/hectare
Uttar Pradesh,Bareilly,Rice,Summer,2022,2023,897.0,3085.0,3.44,tonnes,tonnes/hectare
Uttar Pradesh,Bareilly,Sesamum,Kharif,2022,2023,3255.0,592.0,0.18,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Maize,Kharif,2022,2023,3169.0,4906.0,1.55,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Maize,Rabi,2022,2023,1282.0,3617.0,2.82,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Maize,Summer,2022,2023,1082.0,3114.0,2.88,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Masoor,Rabi,2022,2023,4573.0,3265.0,0.71,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Potato,Rabi,2022,2023,2001.0,54240.0,27.11,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Rapeseed &Mustard,Rabi,2022,2023,20105.0,22980.0,1.14,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Rice,Kharif,2022,2023,134699.0,287313.0,2.13,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Sesamum,Kharif,2022,2023,13.0,3.0,0.23,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Small millets,Kharif,2022,2023,38.0,33.0,0.87,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Garlic,Rabi,2022,2023,4.0,24.0,6.0,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Gram,Rabi,2022,2023,22.0,28.0,1.27,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Guar seed,Kharif,2022,2023,66.0,48.0,0.73,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Jowar,Kharif,2022,2023,54.0,86.0,1.59,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Moong(Green Gram),Kharif,2022,2023,33.0,12.0,0.36,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Ginger,Kharif,2022,2023,1.0,5.0,5.0,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Gram,Rabi,2022,2023,15.0,20.0,1.33,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Groundnut,Kharif,2022,2023,694.0,578.0,0.83,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Guar seed,Kharif,2022,2023,4.0,3.0,0.75,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Jowar,Kharif,2022,2023,1.0,2.0,2.0,tonnes,tonnes/hectare
Uttar Pradesh,Kushi nagar,Linseed,Rabi,2022,2023,6.0,4.0,0.67,tonnes,tonnes/hectare
Uttar Pradesh,Bareilly,Sugarcane,Kharif,2022,2023,118964.0,9530000.0,80.11,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Onion,Rabi,2022,2023,181.0,2796.0,15.45,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Onion,Summer,2022,2023,27.0,598.0,22.15,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Masoor,Rabi,2022,2023,40.0,38.0,0.95,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Moong(Green Gram),Kharif,2022,2023,36.0,14.0,0.39,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Moong(Green Gram),Summer,2022,2023,2279.0,1475.0,0.65,tonnes,tonnes/hectare
